split,model,arm,ps_spearman_T10,n_muts,n_complex_T10,delta_vs_base,spearman_foldavg,spearman_foldavg_sd
fullSK clustered-SP,ESM-C 600M,fx_mlp,0.4225,4165,96,+0.2703,0.4755,0.0328
fullSK clustered-SP,ESM-C 6B,base,0.1934,4165,96,,0.2630,0.0864
fullSK clustered-SP,ESM-C 6B,fx_scalar,0.4166,4165,96,+0.2232,0.4687,0.0371
fullSK clustered-SP,ESM-C 6B,fx_mlp,0.4463,4165,96,+0.2529,0.5036,0.0297
fullSK clustered-SP,Ankh3-large,base,0.0920,4165,96,,0.1085,0.0173
fullSK clustered-SP,Ankh3-large,fx_scalar,0.3883,4165,96,+0.2963,0.4279,0.0157
fullSK clustered-SP,Ankh3-large,fx_mlp,0.4386,4165,96,+0.3466,0.4759,0.0244
fullSK clustered-SP,Ankh3-xl,base,0.1438,4165,96,,0.2248,0.1138
fullSK clustered-SP,Ankh3-xl,fx_scalar,0.4109,4165,96,+0.2671,0.4557,0.0412
fullSK clustered-SP,Ankh3-xl,fx_mlp,0.4314,4165,96,+0.2876,0.4897,0.0309
fullSK clustered-SP,AIDO-16B,base,0.1201,4165,96,,0.1451,0.1222
fullSK clustered-SP,AIDO-16B,fx_scalar,0.3971,4165,96,+0.2770,0.4423,0.0179
fullSK clustered-SP,AIDO-16B,fx_mlp,0.4283,4165,96,+0.3082,0.4899,0.0225
fullSK bycomplex-SP,Ankh-large,base,0.2843,4165,96,,0.3893,0.0911
fullSK bycomplex-SP,Ankh-large,fx_scalar,0.4350,4165,96,+0.1507,0.5339,0.0307
fullSK bycomplex-SP,Ankh-large,fx_mlp,0.4436,4165,96,+0.1593,0.5630,0.0333
fullSK bycomplex-SP,ProstT5,base,0.1937,4165,96,,0.3247,0.0846
fullSK bycomplex-SP,ProstT5,fx_scalar,0.4519,4165,96,+0.2582,0.5499,0.0337
fullSK bycomplex-SP,ProstT5,fx_mlp,0.4636,4165,96,+0.2699,0.5637,0.0295
fullSK bycomplex-SP,SaProt,base,0.1205,4165,96,,0.2009,0.0830
fullSK bycomplex-SP,SaProt,fx_scalar,0.4106,4165,96,+0.2901,0.4681,0.0481
fullSK bycomplex-SP,SaProt,fx_mlp,0.4348,4165,96,+0.3143,0.5016,0.0540
fullSK bycomplex-SP,ESM2-3B,base,0.2614,4165,96,,0.3742,0.1190
fullSK bycomplex-SP,ESM2-3B,fx_scalar,0.4587,4165,96,+0.1973,0.5350,0.0312
fullSK bycomplex-SP,ESM2-3B,fx_mlp,0.4445,4165,96,+0.1831,0.5543,0.0211
fullSK bycomplex-SP,ESM-C 600M,base,0.2269,4165,96,,0.3736,0.0871
fullSK bycomplex-SP,ESM-C 600M,fx_scalar,0.4337,4165,96,+0.2068,0.5293,0.0307
fullSK bycomplex-SP,ESM-C 600M,fx_mlp,0.4668,4165,96,+0.2399,0.5285,0.0182
fullSK bycomplex-SP,ESM-C 6B,base,0.3096,4165,96,,0.4234,0.0860
fullSK bycomplex-SP,ESM-C 6B,fx_scalar,0.4509,4165,96,+0.1413,0.5388,0.0285
fullSK bycomplex-SP,ESM-C 6B,fx_mlp,0.4566,4165,96,+0.1470,0.5597,0.0095
fullSK bycomplex-SP,Ankh3-large,base,0.2030,4165,96,,0.3347,0.1321
fullSK bycomplex-SP,Ankh3-large,fx_scalar,0.4356,4165,96,+0.2326,0.5213,0.0293
fullSK bycomplex-SP,Ankh3-large,fx_mlp,0.4488,4165,96,+0.2458,0.5530,0.0379
fullSK bycomplex-SP,Ankh3-xl,base,0.2679,4165,96,,0.4058,0.1039
fullSK bycomplex-SP,Ankh3-xl,fx_scalar,0.4625,4165,96,+0.1946,0.5574,0.0398
fullSK bycomplex-SP,Ankh3-xl,fx_mlp,0.4544,4165,96,+0.1865,0.5690,0.0340
fullSK bycomplex-SP,AIDO-16B,base,0.1803,4165,96,,0.3449,0.1685
fullSK bycomplex-SP,AIDO-16B,fx_scalar,0.4466,4165,96,+0.2663,0.5367,0.0211
fullSK bycomplex-SP,AIDO-16B,fx_mlp,0.4350,4165,96,+0.2547,0.5517,0.0301
fullSK bycomplex-ALL,Ankh-large,base,0.2471,5801,121,,0.4497,0.0177
fullSK bycomplex-ALL,Ankh-large,fx_scalar,0.4451,5801,121,+0.1980,0.5934,0.0648
fullSK bycomplex-ALL,Ankh-large,fx_mlp,0.4578,5801,121,+0.2107,0.5631,0.0593
fullSK bycomplex-ALL,ProstT5,base,0.2000,5801,121,,0.4094,0.0237
fullSK bycomplex-ALL,ProstT5,fx_scalar,0.4594,5801,121,+0.2594,0.6054,0.0541
fullSK bycomplex-ALL,ProstT5,fx_mlp,0.4571,5801,121,+0.2571,0.5943,0.0719
fullSK bycomplex-ALL,SaProt,base,0.1907,5801,121,,0.2327,0.0476
fullSK bycomplex-ALL,SaProt,fx_scalar,0.4553,5801,121,+0.2646,0.5274,0.0465
fullSK bycomplex-ALL,SaProt,fx_mlp,0.4453,5801,121,+0.2546,0.5360,0.0312
fullSK bycomplex-ALL,ESM2-3B,base,0.2507,5801,121,,0.4488,0.0253
fullSK bycomplex-ALL,ESM2-3B,fx_scalar,0.4490,5801,121,+0.1983,0.5827,0.0468
fullSK bycomplex-ALL,ESM2-3B,fx_mlp,0.4597,5801,121,+0.2090,0.5980,0.0414
fullSK bycomplex-ALL,ESM-C 600M,base,0.2666,5801,121,,0.4557,0.0435
fullSK bycomplex-ALL,ESM-C 600M,fx_scalar,0.4563,5801,121,+0.1897,0.6053,0.0433
fullSK bycomplex-ALL,ESM-C 600M,fx_mlp,0.4641,5801,121,+0.1975,0.6091,0.0394
fullSK bycomplex-ALL,ESM-C 6B,base,0.2948,5801,121,,0.4852,0.0218
fullSK bycomplex-ALL,ESM-C 6B,fx_scalar,0.4444,5801,121,+0.1496,0.5991,0.0450
fullSK bycomplex-ALL,ESM-C 6B,fx_mlp,0.4794,5801,121,+0.1846,0.6160,0.0546
fullSK bycomplex-ALL,Ankh3-large,base,0.1579,5801,121,,0.3484,0.1180
fullSK bycomplex-ALL,Ankh3-large,fx_scalar,0.4063,5801,121,+0.2484,0.5427,0.0911
fullSK bycomplex-ALL,Ankh3-large,fx_mlp,0.4421,5801,121,+0.2842,0.5815,0.0799
fullSK bycomplex-ALL,Ankh3-xl,base,0.2457,5801,121,,0.4705,0.0447
fullSK bycomplex-ALL,Ankh3-xl,fx_scalar,0.4584,5801,121,+0.2127,0.6128,0.0625
fullSK bycomplex-ALL,Ankh3-xl,fx_mlp,0.4393,5801,121,+0.1936,0.6029,0.0638
fullSK bycomplex-ALL,AIDO-16B,base,0.2596,5801,121,,0.4523,0.0184
fullSK bycomplex-ALL,AIDO-16B,fx_scalar,0.4567,5801,121,+0.1971,0.5762,0.0629
fullSK bycomplex-ALL,AIDO-16B,fx_mlp,0.4497,5801,121,+0.1901,0.5940,0.0696
fullSK clustered-ALL,Ankh-large,base,0.1094,5801,121,,0.2143,0.0308
fullSK clustered-ALL,Ankh-large,fx_scalar,0.4177,5801,121,+0.3083,0.5290,0.0297
fullSK clustered-ALL,Ankh-large,fx_mlp,0.4100,5801,121,+0.3006,0.5362,0.0060
fullSK clustered-ALL,ProstT5,base,0.0608,5801,121,,0.1003,0.0339
fullSK clustered-ALL,ProstT5,fx_scalar,0.4151,5801,121,+0.3543,0.5099,0.0272
fullSK clustered-ALL,ProstT5,fx_mlp,0.4220,5801,121,+0.3612,0.5401,0.0282
fullSK clustered-ALL,SaProt,base,0.1385,5801,121,,0.1247,0.0423
fullSK clustered-ALL,SaProt,fx_scalar,0.4145,5801,121,+0.2760,0.4911,0.0130
fullSK clustered-ALL,SaProt,fx_mlp,0.4234,5801,121,+0.2849,0.5285,0.0236
fullSK clustered-ALL,ESM2-3B,base,0.1488,5801,121,,0.2727,0.1065
fullSK clustered-ALL,ESM2-3B,fx_scalar,0.4018,5801,121,+0.2530,0.5026,0.0190
fullSK clustered-ALL,ESM2-3B,fx_mlp,0.4060,5801,121,+0.2572,0.5461,0.0292
fullSK clustered-ALL,ESM-C 600M,base,0.0839,5801,121,,0.2116,0.0944
fullSK clustered-ALL,ESM-C 600M,fx_scalar,0.3870,5801,121,+0.3031,0.5127,0.0387
fullSK clustered-ALL,ESM-C 600M,fx_mlp,0.3493,5801,121,+0.2654,0.4197,0.1133
fullSK clustered-ALL,ESM-C 6B,base,0.2058,5801,121,,0.3445,0.1034
fullSK clustered-ALL,ESM-C 6B,fx_scalar,0.4144,5801,121,+0.2086,0.5175,0.0466
fullSK clustered-ALL,ESM-C 6B,fx_mlp,0.4220,5801,121,+0.2162,0.5468,0.0419
fullSK clustered-ALL,Ankh3-large,base,0.1546,5801,121,,0.2309,0.0183
fullSK clustered-ALL,Ankh3-large,fx_scalar,0.3950,5801,121,+0.2404,0.4984,0.0082
fullSK clustered-ALL,Ankh3-large,fx_mlp,0.4207,5801,121,+0.2661,0.5442,0.0253
fullSK clustered-ALL,Ankh3-xl,base,0.1603,5801,121,,0.2540,0.0427
fullSK clustered-ALL,Ankh3-xl,fx_scalar,0.4125,5801,121,+0.2522,0.5099,0.0273
fullSK clustered-ALL,Ankh3-xl,fx_mlp,0.4106,5801,121,+0.2503,0.5420,0.0272
fullSK clustered-ALL,AIDO-16B,base,0.1565,5801,121,,0.2054,0.0563
fullSK clustered-ALL,AIDO-16B,fx_scalar,0.4156,5801,121,+0.2591,0.5147,0.0035
fullSK clustered-ALL,AIDO-16B,fx_mlp,0.4040,5801,121,+0.2475,0.5377,0.0150
fullSK clustered-ALL+aug,Ankh-large,base,0.1649,5801,121,,0.2415,0.0019
fullSK clustered-ALL+aug,Ankh-large,fx_scalar,0.3936,5801,121,+0.2287,0.5143,0.0297
fullSK clustered-ALL+aug,Ankh-large,fx_mlp,0.4087,5801,121,+0.2438,0.5232,0.0213
fullSK clustered-ALL+aug,ESM-C 6B,base,0.1738,5801,121,,0.2832,0.1206
fullSK clustered-ALL+aug,ESM-C 6B,fx_scalar,0.3954,5801,121,+0.2216,0.5187,0.0330
fullSK clustered-ALL+aug,ESM-C 6B,fx_mlp,0.4159,5801,121,+0.2421,0.5420,0.0248
fullSK clustered-ALL+aug,Ankh3-large,base,0.1556,5801,121,,0.2131,0.0158
fullSK clustered-ALL+aug,Ankh3-xl,base,0.1554,5801,121,,0.2332,0.0395
fullSK clustered-ALL+aug,AIDO-16B,base,0.1104,5801,121,,0.1693,0.0232
fullSK clustered-ALL+aug,AIDO-16B,fx_scalar,0.4020,5801,121,+0.2916,0.5077,0.0110
fullSK clustered-ALL+aug,AIDO-16B,fx_mlp,0.4029,5801,121,+0.2925,0.5314,0.0211
fullSK CATH-all+aug,Ankh-large,base,0.2621,687,13,,0.4775,
fullSK CATH-all+aug,Ankh-large,fx_scalar,0.4366,687,13,+0.1745,0.6255,
fullSK CATH-all+aug,Ankh-large,fx_mlp,0.3897,687,13,+0.1276,0.5988,
fullSK CATH-all+aug,ESM-C 6B,base,0.3274,687,13,,0.5049,
fullSK CATH-all+aug,ESM-C 6B,fx_scalar,0.4630,687,13,+0.1356,0.6168,
fullSK CATH-all+aug,ESM-C 6B,fx_mlp,0.4451,687,13,+0.1177,0.6164,
fullSK CATH-all+aug,AIDO-16B,base,0.2205,687,13,,0.3142,
fullSK CATH-all+aug,AIDO-16B,fx_scalar,0.3492,687,13,+0.1287,0.5370,
fullSK CATH-all+aug,AIDO-16B,fx_mlp,0.3898,687,13,+0.1693,0.6119,
fullSK MP-clustered,Ankh-large,base,0.0914,1636,43,,,
fullSK MP-clustered,Ankh-large,fx_scalar,0.3307,1636,43,+0.2393,,
fullSK MP-clustered,Ankh-large,fx_mlp,0.3550,1636,43,+0.2636,,
fullSK MP-clustered,ProstT5,base,0.0668,1636,43,,,
