tier,model,n_cplx,n_mut,rho_base,rho_fx,rho_base_fx,part_base,part_base_lo,part_base_hi,part_fx,blend_fx,blend_both,gain,gain_lo,gain_hi
fullSK clustered-SP,esmc6b,95,4165,0.1947,0.4177,0.1652,0.1330,0.0815,0.1824,0.3953,0.4177,0.4266,0.0089,-0.0076,0.0247
fullSK bycomplex-SP,esmc6b,95,4165,0.3120,0.4177,0.2430,0.2462,0.1881,0.3072,0.3636,0.4177,0.4537,0.0359,0.0073,0.0636
fullSK MP-clustered,esmc6b,42,1636,0.1461,0.3933,0.1685,0.0526,-0.0617,0.1705,0.3523,0.3933,0.3854,-0.0079,-0.0280,0.0134
fullSK MP-bycomplex,esmc6b,42,1636,0.3790,0.3933,0.2532,0.2823,0.1763,0.3885,0.2873,0.3933,0.4426,0.0493,-0.0158,0.1131
fullSK CATH-all,esmc6b,13,687,0.3596,0.3829,0.2854,0.2632,0.1704,0.3585,0.3024,0.3829,0.4289,0.0460,-0.0054,0.0931
