tier,model,arm,rho,lo,hi,n_cplx,n_mut,coverage,rho_covered_only,d_vs_foldx,d_lo,d_hi,n_shared
S1102 clustered,ankh3_large,fx_mlp,0.4354,0.3705,0.4994,24,1100,,,-0.0071,-0.0683,0.0648,24
S1102 clustered,ankh3_large,fx_scalar,0.3912,0.3186,0.4636,24,1100,,,-0.0513,-0.1196,0.0213,24
S1102 clustered,ankh3_xl,base,0.1974,0.0989,0.2912,24,1100,,,-0.2451,-0.3735,-0.1099,24
S1102 clustered,ankh3_xl,fx_mlp,0.4758,0.4134,0.5377,24,1100,,,0.0334,-0.0244,0.0946,24
S1102 clustered,ankh3_xl,fx_scalar,0.4702,0.4009,0.5342,24,1100,,,0.0277,-0.0318,0.0943,24
S1102 clustered,esmc600m,base,0.2670,0.1587,0.3701,24,1100,,,-0.1755,-0.3131,-0.0337,24
S1102 clustered,esmc600m,fx_mlp,0.3638,0.2622,0.4584,24,1100,,,-0.0787,-0.1967,0.0415,24
S1102 clustered,esmc600m,fx_scalar,0.4602,0.4057,0.5166,24,1100,,,0.0177,-0.0631,0.1002,24
S1102 clustered,esm2,base,0.2392,0.1154,0.3572,24,1100,,,-0.2033,-0.3582,-0.0456,24
S1102 clustered,esm2,fx_mlp,0.4622,0.3994,0.5211,24,1100,,,0.0197,-0.0427,0.0872,24
S1102 clustered,esm2,fx_scalar,0.3948,0.3138,0.4730,24,1100,,,-0.0477,-0.1308,0.0290,24
S1102 clustered,prostt5,base,0.0195,-0.0788,0.1234,24,1100,,,-0.4230,-0.5490,-0.2790,24
S1102 clustered,prostt5,fx_mlp,0.4351,0.3674,0.5000,24,1100,,,-0.0074,-0.0737,0.0611,24
S1102 clustered,prostt5,fx_scalar,0.4323,0.3579,0.5013,24,1100,,,-0.0102,-0.0701,0.0408,24
S1102 clustered,saprot,base,0.1990,0.0791,0.3175,24,1100,,,-0.2435,-0.4027,-0.0808,24
S1102 clustered,saprot,fx_mlp,0.4712,0.4145,0.5282,24,1100,,,0.0288,-0.0377,0.1095,24
S1102 clustered,saprot,fx_scalar,0.4564,0.3933,0.5176,24,1100,,,0.0139,-0.0750,0.1070,24
S1102 clustered,saprot13b,base,0.3139,0.1988,0.4206,24,1100,,,-0.1286,-0.2816,0.0250,24
S1102 clustered,saprot13b,fx_mlp,0.4291,0.3521,0.5029,24,1100,,,-0.0134,-0.1107,0.0909,24
S1102 clustered,saprot13b,fx_scalar,0.4568,0.3744,0.5308,24,1100,,,0.0143,-0.0929,0.1236,24
