tier,model,arm,rho,lo,hi,n_cplx,n_mut,coverage,rho_covered_only,d_vs_foldx,d_lo,d_hi,n_shared
fullSK CATH-single,prostt5,fx_scalar,0.4624,0.3466,0.5702,11,421,,,0.0639,0.0026,0.1629,11
fullSK CATH-single,saprot,base,0.1258,0.0020,0.2576,11,421,,,-0.2727,-0.3964,-0.1427,11
fullSK CATH-single,saprot,fx_mlp,0.4581,0.3334,0.5745,11,421,,,0.0596,0.0027,0.1163,11
fullSK CATH-single,saprot,fx_scalar,0.4210,0.3262,0.5114,11,421,,,0.0226,-0.0514,0.1076,11
fullSK CATH-multiple,—,FoldX alone,0.5397,0.3278,0.7516,5,266,1.0000,0.5397,,,,
fullSK CATH-multiple,ankh,base,0.4444,0.2737,0.6596,5,266,,,-0.0953,-0.2762,0.0647,5
fullSK CATH-multiple,ankh,fx_mlp,0.5886,0.4653,0.7395,5,266,,,0.0489,-0.1089,0.1725,5
fullSK CATH-multiple,ankh,fx_scalar,0.4992,0.2941,0.7043,5,266,,,-0.0405,-0.0744,0.0031,5
fullSK CATH-multiple,esmc6b,base,0.4687,0.1810,0.7563,5,266,,,-0.0710,-0.2319,0.0470,5
fullSK CATH-multiple,esmc6b,fx_mlp,0.5616,0.4274,0.7327,5,266,,,0.0219,-0.1400,0.1450,5
fullSK CATH-multiple,esmc6b,fx_scalar,0.5559,0.3188,0.7930,5,266,,,0.0162,-0.0544,0.0761,5
fullSK CATH-multiple,ankh3_large,base,0.4287,0.1948,0.6627,5,266,,,-0.1110,-0.2116,-0.0006,5
fullSK CATH-multiple,ankh3_large,fx_mlp,0.5909,0.4776,0.7326,5,266,,,0.0512,-0.0671,0.1525,5
fullSK CATH-multiple,ankh3_large,fx_scalar,0.5536,0.3764,0.7308,5,266,,,0.0139,-0.0405,0.0546,5
fullSK CATH-multiple,ankh3_xl,base,0.5866,0.3859,0.7890,5,266,,,0.0469,-0.0209,0.1105,5
fullSK CATH-multiple,ankh3_xl,fx_mlp,0.5488,0.4197,0.7384,5,266,,,0.0091,-0.2171,0.1566,5
fullSK CATH-multiple,ankh3_xl,fx_scalar,0.5768,0.3605,0.7931,5,266,,,0.0371,-0.0301,0.1018,5
fullSK CATH-multiple,aido,base,0.3198,0.0339,0.6152,5,266,,,-0.2199,-0.4396,-0.0003,5
fullSK CATH-multiple,aido,fx_mlp,0.5820,0.4510,0.7265,5,266,,,0.0423,-0.0897,0.1542,5
fullSK CATH-multiple,aido,fx_scalar,0.5655,0.3086,0.8224,5,266,,,0.0258,-0.0439,0.0955,5
fullSK CATH-multiple,esmc600m,base,0.3743,0.0071,0.7298,5,266,,,-0.1654,-0.3608,0.0085,5
fullSK CATH-multiple,esmc600m,fx_mlp,0.5542,0.4210,0.7011,5,266,,,0.0145,-0.0859,0.1128,5
fullSK CATH-multiple,esmc600m,fx_scalar,0.5385,0.2730,0.8039,5,266,,,-0.0012,-0.0958,0.1067,5
fullSK CATH-multiple,esm2,base,0.6043,0.3730,0.8356,5,266,,,0.0646,-0.0094,0.1457,5
fullSK CATH-multiple,esm2,fx_mlp,0.5371,0.4418,0.7101,5,266,,,-0.0026,-0.1947,0.1235,5
fullSK CATH-multiple,esm2,fx_scalar,0.5041,0.2728,0.7354,5,266,,,-0.0356,-0.1364,0.0457,5
fullSK CATH-multiple,prostt5,base,0.2772,0.0344,0.5385,5,266,,,-0.2625,-0.5773,-0.0025,5
fullSK CATH-multiple,prostt5,fx_mlp,0.5553,0.4381,0.7271,5,266,,,0.0156,-0.1280,0.1139,5
fullSK CATH-multiple,prostt5,fx_scalar,0.5455,0.3630,0.7280,5,266,,,0.0058,-0.0243,0.0352,5
fullSK CATH-multiple,saprot,base,0.4495,0.2294,0.6697,5,266,,,-0.0902,-0.1238,-0.0564,5
fullSK CATH-multiple,saprot,fx_mlp,0.5447,0.4272,0.7111,5,266,,,0.0050,-0.2070,0.1515,5
fullSK CATH-multiple,saprot,fx_scalar,0.5632,0.3629,0.7620,5,266,,,0.0235,0.0033,0.0476,5
fullSK clustered-SP,—,FoldX alone,0.3628,0.3158,0.4101,96,4165,0.8776,0.3946,,,,
fullSK clustered-SP,ankh,base,0.1417,0.0831,0.2005,96,4165,,,-0.2211,-0.2840,-0.1599,96
fullSK clustered-SP,ankh,fx_mlp,0.3595,0.2988,0.4182,96,4165,,,-0.0033,-0.0433,0.0336,96
fullSK clustered-SP,ankh,fx_scalar,0.3544,0.3023,0.4078,96,4165,,,-0.0084,-0.0351,0.0186,96
fullSK clustered-SP,esmc6b,base,0.1934,0.1434,0.2423,96,4165,,,-0.1694,-0.2335,-0.1079,96
fullSK clustered-SP,esmc6b,fx_mlp,0.3777,0.3223,0.4312,96,4165,,,0.0149,-0.0228,0.0497,96
fullSK clustered-SP,esmc6b,fx_scalar,0.3730,0.3245,0.4200,96,4165,,,0.0102,-0.0205,0.0412,96
fullSK clustered-SP,ankh3_large,base,0.0920,0.0385,0.1459,96,4165,,,-0.2708,-0.3316,-0.2093,96
fullSK clustered-SP,ankh3_large,fx_mlp,0.3723,0.3183,0.4246,96,4165,,,0.0095,-0.0235,0.0393,96
fullSK clustered-SP,ankh3_large,fx_scalar,0.3312,0.2806,0.3825,96,4165,,,-0.0316,-0.0571,-0.0082,96
fullSK clustered-SP,ankh3_xl,base,0.1438,0.0836,0.2024,96,4165,,,-0.2190,-0.2875,-0.1546,96
fullSK clustered-SP,ankh3_xl,fx_mlp,0.3972,0.3438,0.4493,96,4165,,,0.0344,0.0053,0.0627,96
fullSK clustered-SP,ankh3_xl,fx_scalar,0.3671,0.3166,0.4167,96,4165,,,0.0043,-0.0177,0.0254,96
fullSK clustered-SP,aido,base,0.1201,0.0718,0.1681,96,4165,,,-0.2427,-0.3019,-0.1849,96
fullSK clustered-SP,aido,fx_mlp,0.3704,0.3178,0.4221,96,4165,,,0.0076,-0.0265,0.0375,96
fullSK clustered-SP,aido,fx_scalar,0.3638,0.3197,0.4078,96,4165,,,0.0010,-0.0220,0.0243,96
fullSK clustered-SP,esmc600m,base,0.1522,0.0969,0.2074,96,4165,,,-0.2106,-0.2776,-0.1456,96
fullSK clustered-SP,esmc600m,fx_mlp,0.3070,0.2464,0.3653,96,4165,,,-0.0558,-0.0979,-0.0191,96
fullSK clustered-SP,esmc600m,fx_scalar,0.3419,0.2873,0.3966,96,4165,,,-0.0209,-0.0537,0.0122,96
fullSK clustered-SP,esm2,base,0.1193,0.0661,0.1727,96,4165,,,-0.2435,-0.3050,-0.1813,96
fullSK clustered-SP,esm2,fx_mlp,0.3780,0.3259,0.4284,96,4165,,,0.0152,-0.0130,0.0416,96
fullSK clustered-SP,esm2,fx_scalar,0.3432,0.2910,0.3955,96,4165,,,-0.0196,-0.0474,0.0073,96
fullSK clustered-SP,prostt5,base,0.0537,0.0013,0.1042,96,4165,,,-0.3091,-0.3841,-0.2378,96
fullSK clustered-SP,prostt5,fx_mlp,0.3622,0.3026,0.4184,96,4165,,,-0.0006,-0.0404,0.0322,96
fullSK clustered-SP,prostt5,fx_scalar,0.3471,0.3004,0.3946,96,4165,,,-0.0157,-0.0336,0.0000,96
fullSK clustered-SP,saprot,base,0.0820,0.0267,0.1363,96,4165,,,-0.2808,-0.3564,-0.2089,96
fullSK clustered-SP,saprot13b,base,0.0778,0.0276,0.1295,96,4165,,,-0.2850,-0.3525,-0.2191,96
fullSK bycomplex-SP,—,FoldX alone,0.3628,0.3158,0.4101,96,4165,0.8776,0.3946,,,,
fullSK bycomplex-SP,ankh,base,0.2843,0.2199,0.3467,96,4165,,,-0.0785,-0.1551,-0.0064,96
fullSK bycomplex-SP,ankh,fx_mlp,0.4027,0.3467,0.4569,96,4165,,,0.0399,-0.0001,0.0783,96
fullSK bycomplex-SP,ankh,fx_scalar,0.4087,0.3535,0.4619,96,4165,,,0.0459,0.0082,0.0845,96
fullSK bycomplex-SP,esmc6b,base,0.3096,0.2534,0.3676,96,4165,,,-0.0532,-0.1184,0.0103,96
fullSK bycomplex-SP,esmc6b,fx_mlp,0.4158,0.3620,0.4678,96,4165,,,0.0530,0.0124,0.0910,96
fullSK bycomplex-SP,esmc6b,fx_scalar,0.4207,0.3654,0.4755,96,4165,,,0.0579,0.0170,0.0975,96
fullSK bycomplex-SP,ankh3_large,base,0.2030,0.1377,0.2690,96,4165,,,-0.1598,-0.2387,-0.0806,96
fullSK bycomplex-SP,ankh3_large,fx_mlp,0.3981,0.3443,0.4501,96,4165,,,0.0353,-0.0017,0.0715,96
fullSK bycomplex-SP,ankh3_large,fx_scalar,0.4041,0.3484,0.4591,96,4165,,,0.0413,0.0014,0.0831,96
fullSK bycomplex-SP,ankh3_xl,base,0.2679,0.2058,0.3300,96,4165,,,-0.0949,-0.1676,-0.0241,96
fullSK bycomplex-SP,ankh3_xl,fx_mlp,0.4332,0.3810,0.4854,96,4165,,,0.0704,0.0312,0.1069,96
fullSK bycomplex-SP,ankh3_xl,fx_scalar,0.4339,0.3785,0.4862,96,4165,,,0.0711,0.0235,0.1158,96
fullSK bycomplex-SP,aido,base,0.1803,0.1156,0.2442,96,4165,,,-0.1825,-0.2580,-0.1095,96
fullSK bycomplex-SP,aido,fx_mlp,0.3707,0.3163,0.4231,96,4165,,,0.0079,-0.0281,0.0414,96
fullSK bycomplex-SP,aido,fx_scalar,0.3951,0.3410,0.4493,96,4165,,,0.0323,-0.0009,0.0661,96
fullSK bycomplex-SP,esmc600m,base,0.2269,0.1613,0.2919,96,4165,,,-0.1359,-0.2098,-0.0644,96
fullSK bycomplex-SP,esmc600m,fx_mlp,0.3902,0.3345,0.4455,96,4165,,,0.0274,-0.0113,0.0648,96
fullSK bycomplex-SP,esmc600m,fx_scalar,0.3871,0.3307,0.4420,96,4165,,,0.0243,-0.0182,0.0651,96
fullSK bycomplex-SP,esm2,base,0.2614,0.1993,0.3235,96,4165,,,-0.1014,-0.1777,-0.0282,96
fullSK bycomplex-SP,prostt5,base,0.1937,0.1302,0.2577,96,4165,,,-0.1691,-0.2443,-0.0968,96
fullSK bycomplex-SP,prostt5,fx_mlp,0.3903,0.3333,0.4457,96,4165,,,0.0275,-0.0037,0.0574,96
fullSK bycomplex-SP,prostt5,fx_scalar,0.3980,0.3429,0.4528,96,4165,,,0.0352,0.0075,0.0633,96
fullSK bycomplex-SP,saprot,base,0.1205,0.0599,0.1798,96,4165,,,-0.2423,-0.3151,-0.1710,96
fullSK MP-bycomplex,—,FoldX alone,0.3933,0.2938,0.4899,42,1636,0.9872,0.3933,,,,
fullSK MP-bycomplex,ankh,base,0.3402,0.2311,0.4503,43,1636,,,-0.0408,-0.1594,0.0762,42
fullSK MP-bycomplex,ankh,fx_mlp,0.3914,0.2771,0.4974,43,1636,,,0.0141,-0.0722,0.0998,42
