# FoldX-arm PRE-coverage-fix baseline (captured 2026-07-23, before results_all union + #138 delta).
# Rerun each on the regenerated higher-coverage splits, then recompute + diff test_pcc / sha to confirm change.
tier	model	arm	fold	test_pcc	allresults_sha16	testpred_sha16
bycomplex-SP	aido	foldx_scalar	0	0.42271342873573303	126e321f01d91eba	3bb33f51b6275474
bycomplex-SP	aido	foldx_scalar	1	0.5750648379325867	10e7cd7d5feef540	97694e41d799f544
bycomplex-SP	aido	foldx_scalar	2	0.6610350012779236	ffb9631f5c8a271e	85a4be3b8b1c6bf6
bycomplex-SP	ankh3_large	foldx	0	0.40177279710769653	df4ab5b942cd1474	a906dfe0458ce77c
bycomplex-SP	ankh3_large	foldx	1	0.5329734086990356	42943620b1443f1c	cb90fd1755279e8f
bycomplex-SP	ankh3_large	foldx	2	0.6447342038154602	70e7dc5663c6bdbc	8b45d55e167ded59
bycomplex-SP	ankh3_large	foldx_scalar	0	0.45775535702705383	0326ca77f0301d1a	d57189cf7188c435
bycomplex-SP	ankh3_large	foldx_scalar	1	0.5446149706840515	8ef8ef2c6dfb4f88	d8af5be8e99b5c25
bycomplex-SP	ankh3_large	foldx_scalar	2	0.6488270163536072	e69868085dc171e6	874d34b2b7c9c914
bycomplex-SP	ankh3_xl	foldx	0	0.42702585458755493	508d05fe4e700808	34780c5dfc2904d0
bycomplex-SP	ankh3_xl	foldx	1	0.5974171161651611	a76672e44bb364ef	b96cd42a22285161
bycomplex-SP	ankh3_xl	foldx	2	0.6709789037704468	f3d280ce646891f8	b19ee71b2318caf3
bycomplex-SP	ankh3_xl	foldx_scalar	0	0.44858264923095703	5edea209fe06d5c4	6d58c73a43d27d96
bycomplex-SP	ankh3_xl	foldx_scalar	1	0.5428091883659363	ddd498b87fe7cc0b	3bce3b0b099a35c5
bycomplex-SP	ankh3_xl	foldx_scalar	2	0.6934145092964172	00a78a7ed4e35840	7bf1fabeb15292f0
bycomplex-SP	ankh	foldx	0	0.4114159941673279	7aee71afb8250631	ccd4a08ad4bf2170
bycomplex-SP	ankh	foldx	1	0.5698755383491516	def47a0301058bf0	57065a39435a0e46
bycomplex-SP	ankh	foldx	2	0.6928686499595642	968cf4b28e90aa2f	9b6dc3ac08fe37c1
bycomplex-SP	ankh	foldx_scalar	0	0.44745853543281555	0ed0a12cec16eac0	8373d81f59f9eb16
bycomplex-SP	ankh	foldx_scalar	1	0.5237030982971191	ae658cb0b44717a9	85edc3a8aa859079
bycomplex-SP	ankh	foldx_scalar	2	0.6386542320251465	4e91d2d408e8708d	7d8393e8bc1bc3c7
bycomplex-SP	esm2	foldx	0	0.4010300934314728	b87137c393ac7d60	9444250cc56d1087
bycomplex-SP	esm2	foldx	1	0.57684725522995	2c6d595ffb4e5945	4a2594e9c49626e0
bycomplex-SP	esm2	foldx	2	0.6125287413597107	566443169effca7c	559dc50d41c04370
bycomplex-SP	esm2	foldx_scalar	0	0.46866685152053833	4adb656c5db6e08d	c00761ddc7dec9d6
bycomplex-SP	esm2	foldx_scalar	1	0.5638954639434814	b7d8b687ce57794a	42c86ac4ace42714
bycomplex-SP	esm2	foldx_scalar	2	0.6945067048072815	845cf52433be9cd3	721692093a792ad5
bycomplex-SP	esmc6b	foldx	0	0.4699825048446655	d2b19cc8b1543595	625a4efb7e5e6120
bycomplex-SP	esmc6b	foldx	1	0.6039057374000549	c191c7f7597a0ae1	e126304a3aec6785
bycomplex-SP	esmc6b	foldx	2	0.6453823447227478	e1597588b5f1b49b	5d1cdac8c2ae5ff9
bycomplex-SP	esmc6b	foldx_scalar	0	0.4771084785461426	4ab9e9eb7a890160	735e6f9b6815bbe9
bycomplex-SP	esmc6b	foldx_scalar	1	0.6092837452888489	22ce9fd8610856cf	ac02de6c992a48f3
bycomplex-SP	esmc6b	foldx_scalar	2	0.6406698822975159	dbd562d3499d5841	0b006f829b947a5f
bycomplex-SP	prostt5	foldx	0	0.40255701541900635	0fbd1314ddba0bd0	9217b4ea9edf781d
bycomplex-SP	prostt5	foldx	1	0.5624339580535889	4fe1376cdbe4aaa4	5d5f3c4181d16a28
bycomplex-SP	prostt5	foldx	2	0.40688490867614746	8a4d08428875c6c7	4ec2f68b1c57976d
bycomplex-SP	prostt5	foldx_scalar	0	0.43829694390296936	69ca7135caa31604	558372c1f2be54b8
bycomplex-SP	prostt5	foldx_scalar	1	0.511475682258606	51b2ed8b576f21fa	68443035a07262c5
bycomplex-SP	prostt5	foldx_scalar	2	0.6755836606025696	a8e0d0672cb54045	7d9499a5521bd4e0
bycomplex-SP	saprot	foldx	0	0.4280853271484375	a07d1cccd2ec00c3	e4d7c301eb15de0e
bycomplex-SP	saprot	foldx	1	0.5138390064239502	252b7c9e55b65da1	4fbaf9b9ae97f789
bycomplex-SP	saprot	foldx	2	0.19636216759681702	c6366493de74ee4d	13012ec8861f883b
bycomplex-SP	saprot	foldx_scalar	0	0.4239584803581238	b173032c9b7f0b15	e97c31e8edd66360
bycomplex-SP	saprot	foldx_scalar	1	0.4788644015789032	1443c92b57b93b02	144cde2017418685
bycomplex-SP	saprot	foldx_scalar	2	0.4017365276813507	2c4e0ac241a0c638	6da8b05bb95f523f
CATH-all	aido	foldx	0	0.5103227496147156	9c40eaf8bc19eb82	9528325765ed15f3
CATH-all	aido	foldx_scalar	0	0.5492826700210571	d6896424d10addd5	fa0af7f3356c5592
CATH-all	ankh3_large	foldx	0	0.46360984444618225	9c2e5917eb4bd63f	d9bd52c729d3bce8
CATH-all	ankh3_large	foldx_scalar	0	0.5523864030838013	17d9df13244f588a	78a634f923a4a33a
CATH-all	ankh3_xl	foldx	0	0.4988231062889099	bc84dc5282880764	0b3dccbbeadc2d0a
CATH-all	ankh3_xl	foldx_scalar	0	0.6355969905853271	344efa8d9aaf105f	1c91d2f6089be7f3
CATH-all	ankh	foldx	0	0.45356982946395874	6a59189f3454e283	8fc1567e7a010ee9
CATH-all	ankh	foldx_scalar	0	0.5630868077278137	11e8979f7b89340a	393515a0df785b30
CATH-all	esm2	foldx	0	0.4711010456085205	4fdce0956e1ba03a	9fc3b4f7691a2c0f
CATH-all	esm2	foldx_scalar	0	0.5034465789794922	ad5dc6c936568c83	79a9baaa0b0fee87
CATH-all	esmc600m	foldx	0	0.45693063735961914	70f14bfd173642d2	5ae11abcd778fbce
CATH-all	esmc600m	foldx_scalar	0	0.6377045512199402	be8d7e8eef205ed8	8ded730e9ff419b2
CATH-all	esmc6b	foldx	0	0.5163241624832153	97faa412acc6edab	9ea3ee207ea63c63
CATH-all	esmc6b	foldx_scalar	0	0.5994870066642761	622f8cda362a5a15	9a0acc5b72139541
CATH-all	prostt5	foldx	0	0.46067070960998535	e1aef3ceffb43c88	5a9ea312bebb36e2
CATH-all	prostt5	foldx_scalar	0	0.4723321795463562	61e20cb2c58b59f5	97be226077e3ee95
CATH-all	saprot	foldx	0	0.4922530949115753	668a6154651864bd	c42c914cb59dabfd
CATH-all	saprot	foldx_scalar	0	0.556069016456604	ffa4c1cff8559242	fd23bea2fd196cbf
