arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
esmc6b_foldx,421,0.4662,0.5028,1.8926,1.3520,1.6633,1.2237,0.5109,0.4881,11,0.5277,0.5206,18,0.7619,0.7310,0.3800,0.1727
esmc6b_foldx_scalar,421,0.4356,0.4678,1.8849,1.3472,1.6924,1.2424,0.4840,0.4499,11,0.5097,0.5040,18,0.7658,0.7136,0.5000,0.2273
aido_foldx_scalar,421,0.3506,0.4204,2.0541,1.4747,1.7609,1.2957,0.3998,0.4310,11,0.3804,0.4184,18,0.7215,0.6969,0.4600,0.2091
aido_foldx,421,0.4577,0.4652,2.0016,1.4436,1.6717,1.2170,0.3899,0.3238,11,0.3914,0.3646,18,0.7334,0.7183,0.5000,0.2273
