arm,n,pearson,spearman,rmse,mae,rmse_corr,mae_corr,ps_pearson_T10,ps_spearman_T10,ps_ncomplex_T10,ps_pearson_T5,ps_spearman_T5,ps_ncomplex_T5,auroc_destab,auroc_strong,prec_at50,recall_at50
aido_foldx,266,0.5982,0.5958,3.3967,2.6586,2.7624,2.1201,0.5698,0.5418,5,0.2118,0.2201,9,0.8313,0.7917,0.9000,0.3000
aido_foldx_scalar,266,0.5430,0.4934,3.6763,2.8951,2.8949,2.2554,0.5312,0.5376,5,0.2013,0.1921,9,0.8268,0.7302,0.8200,0.2733
esmc6b_foldx,266,0.7084,0.6680,3.2319,2.5321,2.4330,1.8049,0.5294,0.5032,5,0.3274,0.2632,9,0.8698,0.8126,0.9200,0.3067
esmc6b_foldx_scalar,266,0.5394,0.5216,3.4372,2.6755,2.9027,2.1587,0.4114,0.4304,5,0.2020,0.2018,9,0.8346,0.7451,0.8800,0.2933
